"Gemeinde_Nr","Ja_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Text_d","Text_f"
2008,96.946564885,"Châtillon FR","Châtillon (FR)","NA NA","A Châtillon (FR), les habitants disent oui à 96,9 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Châtillon (FR) a approuvé le texte, tout comme son canton."
2009,94.512195122,"Cheiry FR","Cheiry (FR)","NA NA","A Cheiry, les habitants disent oui à 94,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Cheiry a approuvé le texte, tout comme son canton."
2011,97.97979798,"Cugy FR","Cugy (FR)","NA NA","Cugy (FR) approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 98 pourcent de oui. Cugy (FR) a approuvé le texte, tout comme son canton."
2016,96.475770925,"Fétigny FR","Fétigny (FR)","NA NA","C'est oui à 96,5 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Fétigny. Fétigny a approuvé le texte, tout comme son canton."
2022,96.218487395,"Gletterens FR","Gletterens (FR)","NA NA","C'est oui à 96,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Gletterens. Gletterens a approuvé le texte, tout comme son canton."
2025,97.388059701,"Lully FR","Lully (FR)","NA NA","Lully (FR) approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 97,4 pourcent de oui. Lully (FR) a approuvé le texte, tout comme son canton."
2027,94.594594595,"Ménières FR","Ménières (FR)","NA NA","C'est oui à 94,6 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Ménières. Ménières a approuvé le texte, tout comme son canton."
2029,94.6,"Montagny FR","Montagny (FR)","NA NA","Montagny (FR) approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 94,6 pourcent de oui. Montagny (FR) a approuvé le texte, tout comme son canton."
2035,93.103448276,"Nuvilly FR","Nuvilly (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Nuvilly. Les électeurs de cette petite commune sont 81 à approuver le texte et 6 à le refuser. Nuvilly a approuvé le texte, tout comme son canton."
2038,90.909090909,"Prévondavaux FR","Prévondavaux (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Prévondavaux. Les électeurs de cette petite commune sont 20 à approuver le texte et 2 à le refuser. Prévondavaux a approuvé le texte, tout comme son canton."
2041,96.56019656,"Saint-Aubin FR","Saint-Aubin (FR)","NA NA","A Saint-Aubin (FR), les habitants disent oui à 96,6 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Saint-Aubin (FR) a approuvé le texte, tout comme son canton."
2043,98.305084746,"Sévaz FR","Sévaz (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Sévaz. Les électeurs de cette petite commune sont 58 à approuver le texte et 1 à le refuser. Sévaz a approuvé le texte, tout comme son canton."
2044,95.217391304,"Surpierre FR","Surpierre (FR)","NA NA","C'est oui à 95,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Surpierre. Surpierre a approuvé le texte, tout comme son canton."
2045,95.744680851,"Vallon FR","Vallon (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Vallon. Les électeurs de cette petite commune sont 90 à approuver le texte et 4 à le refuser. Vallon a approuvé le texte, tout comme son canton."
2050,97.419354839,"Les Montets FR","Les Montets (FR)","NA NA","C'est oui à 97,4 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg aux Montets. Les Montets a approuvé le texte, tout comme son canton."
2051,95.104895105,"Delley-Portalban FR","Delley-Portalban (FR)","NA NA","C'est oui à 95,1 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Delley-Portalban. Delley-Portalban a approuvé le texte, tout comme son canton."
2053,96.1,"Belmont-Broye FR","Belmont-Broye (FR)","NA NA","Belmont-Broye approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 96,1 pourcent de oui. Belmont-Broye a approuvé le texte, tout comme son canton."
2054,95.429151854,"Estavayer FR","Estavayer (FR)","NA NA","Estavayer approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 95,4 pourcent de oui. Estavayer a approuvé le texte, tout comme son canton."
2055,95.422031474,"Cheyres-Châbles FR","Cheyres-Châbles (FR)","NA NA","C'est oui à 95,4 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Cheyres-Châbles. Cheyres-Châbles a approuvé le texte, tout comme son canton."
2061,95.833333333,"Auboranges FR","Auboranges (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Auboranges. Les électeurs de cette petite commune sont 69 à approuver le texte et 3 à le refuser. Auboranges a approuvé le texte, tout comme son canton."
2063,94.086021505,"Billens-Hennens FR","Billens-Hennens (FR)","NA NA","Billens-Hennens approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 94,1 pourcent de oui. Billens-Hennens a approuvé le texte, tout comme son canton."
2066,96.428571429,"Chapelle (Glâne) FR","Chapelle (Glâne) (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Chapelle (Glâne). Les électeurs de cette petite commune sont 81 à approuver le texte et 3 à le refuser. Chapelle (Glâne) a approuvé le texte, tout comme son canton."
2067,98.611111111,"Le Châtelard FR","Le Châtelard (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe au Châtelard. Les électeurs de cette petite commune sont 71 à approuver le texte et 1 à le refuser. Le Châtelard a approuvé le texte, tout comme son canton."
2068,96.022727273,"Châtonnaye FR","Châtonnaye (FR)","NA NA","C'est oui à 96 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Châtonnaye. Châtonnaye a approuvé le texte, tout comme son canton."
2072,93.75,"Ecublens FR","Ecublens (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Ecublens (FR). Les électeurs de cette petite commune sont 75 à approuver le texte et 5 à le refuser. Ecublens (FR) a approuvé le texte, tout comme son canton."
2079,100,"Grangettes FR","Grangettes (FR)","NA NA","Résultat clair et net à Grangettes. Les 47 électeurs de cette commune qui se sont rendus aux urnes dimanche acceptent tous la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. C'est à Grangettes que la forte acceptation de la réforme a été enregistrée dans le canton."
2086,98.260869565,"Massonnens FR","Massonnens (FR)","NA NA","Massonnens approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 98,3 pourcent de oui. Massonnens a approuvé le texte, tout comme son canton."
2087,96.734693878,"Mézières FR","Mézières (FR)","NA NA","C'est oui à 96,7 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Mézières (FR). Mézières (FR) a approuvé le texte, tout comme son canton."
2089,97.530864198,"Montet (Glâne) FR","Montet (Glâne) (FR)","NA NA","La réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg passe la rampe à Montet (Glâne). Les électeurs de cette petite commune sont 79 à approuver le texte et 2 à le refuser. Montet (Glâne) a approuvé le texte, tout comme son canton."
2096,96.578947368,"Romont FR","Romont (FR)","NA NA","C'est oui à 96,6 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Romont (FR). Romont (FR) a approuvé le texte, tout comme son canton."
2097,93.103448276,"Rue FR","Rue (FR)","NA NA","Rue approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 93,1 pourcent de oui. Rue a approuvé le texte, tout comme son canton."
2099,91.203703704,"Siviriez FR","Siviriez (FR)","NA NA","A Siviriez, les habitants disent oui à 91,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Siviriez a approuvé le texte, tout comme son canton."
2102,97.395833333,"Ursy FR","Ursy (FR)","NA NA","A Ursy, les habitants disent oui à 97,4 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Ursy a approuvé le texte, tout comme son canton."
2113,97.511312217,"Vuisternens-devant-Romont FR","Vuisternens-devant-Romont (FR)","NA NA","Vuisternens-devant-Romont approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 97,5 pourcent de oui. Vuisternens-devant-Romont a approuvé le texte, tout comme son canton."
2114,95.890410959,"Villorsonnens FR","Villorsonnens (FR)","NA NA","Villorsonnens approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 95,9 pourcent de oui. Villorsonnens a approuvé le texte, tout comme son canton."
2115,94.685990338,"Torny FR","Torny (FR)","NA NA","A Torny, les habitants disent oui à 94,7 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Torny a approuvé le texte, tout comme son canton."
2117,96.346153846,"Villaz FR","Villaz (FR)","NA NA","Villaz approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 96,3 pourcent de oui. Villaz a approuvé le texte, tout comme son canton."
